code,description,last_updated
G8845,Positive airway pressure therapy prescribed,09/11/2025
G8846,Moderate or severe obstructive sleep apnea (apnea hypopnea index (ahi) or respiratory disturbance index (rdi) of 15 or greater),09/11/2025
G8848,Mild obstructive sleep apnea (apnea hypopnea index (ahi) or respiratory disturbance index (rdi) of less than 15),09/11/2025
G8849,"Documentation of reason(s) for not prescribing positive airway pressure therapy (e.g., patient unable to tolerate, alternative therapies use, patient declined, financial, insurance coverage)",09/11/2025
G8850,"Positive airway pressure therapy not prescribed, reason not given",09/11/2025
G8851,"Adherence to therapy was assessed at least annually through an objective informatics system or through self-reporting (if objective reporting is not available, documented)",09/11/2025
G8852,Positive airway pressure therapy was prescribed,09/11/2025
G8853,Positive airway pressure therapy not prescribed,09/11/2025
G8854,"Documentation of reason(s) for not objectively reporting adherence to evidence-based therapy (e.g., patients who have been diagnosed with a terminal or advanced disease with an expected life span of less than 6 months, patients who decline therapy, patients who do not return for follow-up at least annually, patients unable to access/afford therapy, patient's insurance will not cover therapy)",09/11/2025
G8855,"Adherence to therapy was not assessed at least annually through an objective informatics system or through self-reporting (if objective reporting is not available), reason not given",09/11/2025
G8856,Referral to a physician for an otologic evaluation performed,09/11/2025
G8857,"Patient is not eligible for the referral for otologic evaluation measure (e.g., patients who are already under the care of a physician for acute or chronic dizziness)",09/11/2025
G8858,"Referral to a physician for an otologic evaluation not performed, reason not given",09/11/2025
G8859,Patient receiving corticosteroids greater than or equal to 10mg/day for 60 or greater consecutive days,09/11/2025
G8860,Patients who have received dose of corticosteroids greater than or equal to 10mg/day for 60 or greater consecutive days,09/11/2025
G8861,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) ordered and documented, review of systems and medication history or pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribed",09/11/2025
G8862,Patients not receiving corticosteroids greater than or equal to 10mg/day for 60 or greater consecutive days,09/11/2025
G8863,"Patients not assessed for risk of bone loss, reason not given",09/11/2025
G8864,Pneumococcal vaccine administered or previously received,09/11/2025
G8865,"Documentation of medical reason(s) for not administering or previously receiving pneumococcal vaccine (e.g., patient allergic reaction, potential adverse drug reaction)",09/11/2025
G8866,"Documentation of patient reason(s) for not administering or previously receiving pneumococcal vaccine (e.g., patient refusal)",09/11/2025
G8867,"Pneumococcal vaccine not administered or previously received, reason not given",09/11/2025
G8868,Patients receiving a first course of anti-tnf therapy,09/11/2025
G8869,Patient has documented immunity to hepatitis b and initiating anti-tnf therapy,09/11/2025
G8870,Hepatitis b vaccine injection administered or previously received and is receiving a first course of anti-tnf therapy,09/11/2025
G8871,Patient not receiving a first course of anti-tnf therapy,09/11/2025
G8872,Excised tissue evaluated by imaging intraoperatively to confirm successful inclusion of targeted lesion,09/11/2025
G8873,"Patients with needle localization specimens which are not amenable to intraoperative imaging such as mri needle wire localization, or targets which are tentatively identified on mammogram or ultrasound which do not contain a biopsy marker but which can be verified on intraoperative inspection or pathology (e.g., needle biopsy site where the biopsy marker is remote from the actual biopsy site)",09/11/2025
G8874,Excised tissue not evaluated by imaging intraoperatively to confirm successful inclusion of targeted lesion,09/11/2025
G8875,Clinician diagnosed breast cancer preoperatively by a minimally invasive biopsy method,09/11/2025
G8876,"Documentation of reason(s) for not performing minimally invasive biopsy to diagnose breast cancer preoperatively (e.g., lesion too close to skin, implant, chest wall, etc., lesion could not be adequately visualized for needle biopsy, patient condition prevents needle biopsy [weight, breast thickness, etc.], duct excision without imaging abnormality, prophylactic mastectomy, reduction mammoplasty, excisional biopsy performed by another physician)",09/11/2025
G8877,"Clinician did not attempt to achieve the diagnosis of breast cancer preoperatively by a minimally invasive biopsy method, reason not given",09/11/2025
G8878,Sentinel lymph node biopsy procedure performed,09/11/2025
G8879,Clinically node negative (t1n0m0 or t2n0m0) invasive breast cancer,09/11/2025
G8880,"Documentation of reason(s) sentinel lymph node biopsy not performed (e.g., reasons could include but not limited to; non-invasive cancer, incidental discovery of breast cancer on prophylactic mastectomy, incidental discovery of breast cancer on reduction mammoplasty, pre-operative biopsy proven lymph node (ln) metastases, inflammatory carcinoma, stage 3 locally advanced cancer, recurrent invasive breast cancer, clinically node positive after neoadjuvant systemic therapy, patient refusal after informed consent, patient with significant age, comorbidities, or limited life expectancy and favorable tumor; adjuvant systemic therapy unlikely to change)",09/11/2025
G8881,Stage of breast cancer is greater than t1n0m0 or t2n0m0,09/11/2025
G8882,"Sentinel lymph node biopsy procedure not performed, reason not given",09/11/2025
G8883,"Biopsy results reviewed, communicated, tracked and documented",09/11/2025
G8884,Clinician documented reason that patient's biopsy results were not reviewed,09/11/2025
G8885,"Biopsy results not reviewed, communicated, tracked or documented",09/11/2025
G8886,Most recent blood pressure under control,09/11/2025
G8887,"Documentation of medical reason(s) for most recent blood pressure not being under control (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)",09/11/2025
G8888,"Most recent blood pressure not under control, results documented and reviewed",09/11/2025
G8889,"No documentation of blood pressure measurement, reason not given",09/11/2025
G8890,"Most recent ldl-c under control, results documented and reviewed",09/11/2025
G8891,"Documentation of medical reason(s) for most recent ldl-c not under control (e.g., patients with palliative goals for whom treatment of hypertension with standard treatment goals is not clinically appropriate)",09/11/2025
G8892,Documentation of medical reason(s) for not performing ldl-c test (e.g. patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate),09/11/2025
G8893,"Most recent ldl-c not under control, results documented and reviewed",09/11/2025
G8894,"Ldl-c not performed, reason not given",09/11/2025
G8895,Oral aspirin or other antithrombotic therapy prescribed,09/11/2025
G8896,"Documentation of medical reason(s) for not prescribing oral aspirin or other antithrombotic therapy (e.g., patient documented to be low risk or patient with terminal illness or treatment of hypertension with standard treatment goals is not clinically appropriate, or for whom risk of aspirin or other antithrombotic therapy exceeds potential benefits such as for individuals whose blood pressure is poorly controlled)",09/11/2025
G8897,"Oral aspirin or other antithrombotic therapy was not prescribed, reason not given",09/11/2025
G8898,I intend to report the chronic obstructive pulmonary disease (copd) measures group,09/11/2025
G8899,I intend to report the inflammatory bowel disease (ibd) measures group,09/11/2025
G8900,I intend to report the sleep apnea measures group,09/11/2025
G8902,I intend to report the dementia measures group,09/11/2025
G8903,I intend to report the parkinson's disease measures group,09/11/2025
G8904,I intend to report the hypertension (htn) measures group,09/11/2025
G8905,I intend to report the cardiovascular prevention measures group,09/11/2025
G8906,I intend to report the cataract measures group,09/11/2025
G8907,Patient documented not to have experienced any of the following events: a burn prior to discharge; a fall within the facility; wrong site/side/patient/procedure/implant event; or a hospital transfer or hospital admission upon discharge from the facility,09/11/2025
G8908,Patient documented to have received a burn prior to discharge,09/11/2025
G8909,Patient documented not to have received a burn prior to discharge,09/11/2025
G8910,Patient documented to have experienced a fall within asc,09/11/2025
G8911,Patient documented not to have experienced a fall within ambulatory surgical center,09/11/2025
G8912,"Patient documented to have experienced a wrong site, wrong side, wrong patient, wrong procedure or wrong implant event",09/11/2025
G8913,"Patient documented not to have experienced a wrong site, wrong side, wrong patient, wrong procedure or wrong implant event",09/11/2025
G8914,Patient documented to have experienced a hospital transfer or hospital admission upon discharge from asc,09/11/2025
G8915,Patient documented not to have experienced a hospital transfer or hospital admission upon discharge from asc,09/11/2025
G8916,"Patient with preoperative order for iv antibiotic surgical site infection (ssi) prophylaxis, antibiotic initiated on time",09/11/2025
G8917,"Patient with preoperative order for iv antibiotic surgical site infection (ssi) prophylaxis, antibiotic not initiated on time",09/11/2025
G8918,Patient without preoperative order for iv antibiotic surgical site infection (ssi) prophylaxis,09/11/2025
G8923,Current or prior left ventricular ejection fraction (lvef) <= 40% or documentation of moderately or severely depressed left ventricular systolic function,09/11/2025
G8924,Spirometry results documented (fev1/fvc < 70%),09/11/2025
G8925,"Spirometry test results demonstrate fev1 >= 60% fev1/fvc >= 70%, predicted or patient does not have copd symptoms",09/11/2025
G8926,"Spirometry test not performed or documented, reason not given",09/11/2025
G8927,"Adjuvant chemotherapy referred, prescribed or previously received for ajcc stage iii, colon cancer",09/11/2025
G8928,"Adjuvant chemotherapy not prescribed or previously received, for documented reasons (e.g., medical co-morbidities, diagnosis date more than 5 years prior to the current visit date, patient's diagnosis date is within 120 days of the end of the 12 month reporting period, patient's cancer has metastasized, medical contraindication/allergy, poor performance status, other medical reasons, patient refusal, other patient reasons, patient is currently enrolled in a clinical trial that precludes prescription of chemotherapy, other system reasons)",09/11/2025
G8929,"Adjuvant chemotherapy not prescribed or previously received, reason not given",09/11/2025
G8930,Assessment of depression severity at the initial evaluation,09/11/2025
G8931,"Assessment of depression severity not documented, reason not given",09/11/2025
G8932,Suicide risk assessed at the initial evaluation,09/11/2025
G8933,"Suicide risk not assessed at the initial evaluation, reason not given",09/11/2025
G8934,Current or prior left ventricular ejection fraction (lvef) <=40% or documentation of moderately or severely depressed left ventricular systolic function,09/11/2025
G8935,Clinician prescribed angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker (arb) therapy,09/11/2025
G8936,"Clinician documented that patient was not an eligible candidate for angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker (arb) therapy (eg, allergy, intolerance, pregnancy, renal failure due to ace inhibitor, diseases of the aortic or mitral valve, other medical reasons) or (eg, patient declined, other patient reasons)",09/11/2025
G8937,"Clinician did not prescribe angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker (arb) therapy, reason not given",09/11/2025
G8938,"Bmi is documented as being outside of normal parameters, follow-up plan is not documented, documentation the patient is not eligible",09/11/2025
G8939,"Pain assessment documented as positive, follow-up plan not documented, documentation the patient is not eligible at the time of the encounter",09/11/2025
G8940,"Screening for depression documented as positive, a follow-up plan not completed, documented reason",09/11/2025
G8941,"Elder maltreatment screen documented as positive, follow-up plan not documented, documentation the patient is not eligible for follow-up plan at the time of the encounter",09/11/2025
G8942,"Functional outcome assessment using a standardized tool is documented within the previous 30 days and a care plan, based on identified deficiencies is documented within two days of the functional outcome assessment",09/11/2025
G8943,Ldl-c result not present or not within 12 months prior,09/11/2025
G8944,Ajcc melanoma cancer stage 0 through iic melanoma,09/11/2025
G8946,"Minimally invasive biopsy method attempted but not diagnostic of breast cancer (e.g., high risk lesion of breast such as atypical ductal hyperplasia, lobular neoplasia, atypical lobular hyperplasia, lobular carcinoma in situ, atypical columnar hyperplasia, flat epithelial atypia, radial scar, complex sclerosing lesion, papillary lesion, or any lesion with spindle cells)",09/11/2025
G8947,One or more neuropsychiatric symptoms,09/11/2025
G8948,No neuropsychiatric symptoms,09/11/2025
G8949,"Documentation of patient reason(s) for patient not receiving counseling for diet and physical activity (e.g., patient is not willing to discuss diet or exercise interventions to help control blood pressure, or the patient said he/she refused to make these changes)",09/11/2025
G8950,"Elevated or hypertensive blood pressure reading documented, and the indicated follow-up is documented",09/11/2025
G8951,"Pre-hypertensive or hypertensive blood pressure reading documented, indicated follow-up not documented, documentation the patient is not eligible",09/11/2025
G8952,"Elevated or hypertensive blood pressure reading documented, indicated follow-up not documented, reason not given",09/11/2025
G8953,All quality actions for the applicable measures in the oncology measures group have been performed for this patient,09/11/2025
G8955,Most recent assessment of adequacy of volume management documented,09/11/2025
G8956,Patient receiving maintenance hemodialysis in an outpatient dialysis facility,09/11/2025
G8957,Patient not receiving maintenance hemodialysis in an outpatient dialysis facility,09/11/2025
G8958,"Assessment of adequacy of volume management not documented, reason not given",09/11/2025
G8959,Clinician treating major depressive disorder communicates to clinician treating comorbid condition,09/11/2025
G8960,"Clinician treating major depressive disorder did not communicate to clinician treating comorbid condition, reason not given",09/11/2025
G8961,Cardiac stress imaging test primarily performed on low-risk surgery patient for preoperative evaluation within 30 days preceding this surgery,09/11/2025
G8962,Cardiac stress imaging test performed on patient for any reason including those who did not have low risk surgery or test that was performed more than 30 days preceding low risk surgery,09/11/2025
G8963,Cardiac stress imaging performed primarily for monitoring of asymptomatic patient who had pci within 2 years,09/11/2025
G8964,"Cardiac stress imaging test performed primarily for any other reason than monitoring of asymptomatic patient who had pci within 2 years (e.g., symptomatic patient, patient greater than 2 years since pci, initial evaluation, etc)",09/11/2025
G8965,Cardiac stress imaging test primarily performed on low chd risk patient for initial detection and risk assessment,09/11/2025
G8966,Cardiac stress imaging test performed on symptomatic or higher than low chd risk patient or for any reason other than initial detection and risk assessment,09/11/2025
G8967,Fda approved oral anticoagulant is prescribed,09/11/2025
G8968,"Documentation of medical reason(s) for not prescribing an fda-approved anticoagulant (e.g., present or planned atrial appendage occlusion or ligation or patient being currently enrolled in a clinical trial related to af/atrial flutter treatment)",09/11/2025
G8969,"Documentation of patient reason(s) for not prescribing an oral anticoagulant that is fda approved for the prevention of thromboembolism (e.g., patient preference for not receiving anticoagulation)",09/11/2025
G8970,No risk factors or one moderate risk factor for thromboembolism,09/11/2025
G8971,"Warfarin or another oral anticoagulant that is fda approved not prescribed, reason not given",09/11/2025
G8972,One or more high risk factors for thromboembolism or more than one moderate risk factor for thromboembolism,09/11/2025
G8973,Most recent hemoglobin (hgb) level < 10 g/dl,09/11/2025
G8974,"Hemoglobin level measurement not documented, reason not given",09/11/2025
G8975,"Documentation of medical reason(s) for patient having a hemoglobin level < 10 g/dl (e.g., patients who have non-renal etiologies of anemia [e.g., sickle cell anemia or other hemoglobinopathies, hypersplenism, primary bone marrow disease, anemia related to chemotherapy for diagnosis of malignancy, postoperative bleeding, active bloodstream or peritoneal infection], other medical reasons)",09/11/2025
G8976,Most recent hemoglobin (hgb) level >= 10 g/dl,09/11/2025
G8977,I intend to report the oncology measures group,09/11/2025
G8978,"Mobility: walking & moving around functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8979,"Mobility: walking & moving around functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8980,"Mobility: walking & moving around functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8981,"Changing & maintaining body position functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8982,"Changing & maintaining body position functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8983,"Changing & maintaining body position functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8984,"Carrying, moving & handling objects functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8985,"Carrying, moving and handling objects, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8986,"Carrying, moving & handling objects functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8987,"Self care functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8988,"Self care functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8989,"Self care functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8990,"Other physical or occupational therapy primary functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8991,"Other physical or occupational therapy primary functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8992,"Other physical or occupational therapy primary functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8993,"Other physical or occupational therapy subsequent functional limitation, current status, at therapy episode outset and at reporting intervals",09/11/2025
G8994,"Other physical or occupational therapy subsequent functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8995,"Other physical or occupational therapy subsequent functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8996,"Swallowing functional limitation, current status at therapy episode outset and at reporting intervals",09/11/2025
G8997,"Swallowing functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",09/11/2025
G8998,"Swallowing functional limitation, discharge status, at discharge from therapy or to end reporting",09/11/2025
G8999,"Motor speech functional limitation, current status at therapy episode outset and at reporting intervals",09/11/2025
G9001,"Coordinated care fee, initial rate",09/11/2025
G9002,"Coordinated care fee, maintenance rate",09/11/2025
G9003,"Coordinated care fee, risk adjusted high, initial",09/11/2025
G9004,"Coordinated care fee, risk adjusted low, initial",09/11/2025
G9005,"Coordinated care fee, risk adjusted maintenance",09/11/2025
G9006,"Coordinated care fee, home monitoring",09/11/2025
G9007,"Coordinated care fee, scheduled team conference",09/11/2025
G9008,"Coordinated care fee, physician coordinated care oversight services",09/11/2025
G9009,"Coordinated care fee, risk adjusted maintenance, level 3",09/11/2025
G9010,"Coordinated care fee, risk adjusted maintenance, level 4",09/11/2025
G9011,"Coordinated care fee, risk adjusted maintenance, level 5",09/11/2025
G9012,Other specified case management service not elsewhere classified,09/11/2025
G9013,Esrd demo basic bundle level i,09/11/2025
G9014,Esrd demo expanded bundle including venous access and related services,09/11/2025
G9016,"Smoking cessation counseling, individual, in the absence of or in addition to any other evaluation and management service, per session (6-10 minutes) [demo project code only]",09/11/2025
G9017,"Amantadine hydrochloride, oral, per 100 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9018,"Zanamivir, inhalation powder, administered through inhaler, per 10 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9019,"Oseltamivir phosphate, oral, per 75 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9020,"Rimantadine hydrochloride, oral, per 100 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9033,"Amantadine hydrochloride, oral brand, per 100 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9034,"Zanamivir, inhalation powder, administered through inhaler, brand, per 10 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9035,"Oseltamivir phosphate, oral, brand, per 75 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9036,"Rimantadine hydrochloride, oral, brand, per 100 mg (for use in a medicare-approved demonstration project)",09/11/2025
G9037,Interprofessional telephone/internet/electronic health record clinical question/request for specialty recommendations by a treating/requesting physician or other qualified health care professional for the care of the patient (i.e. not for professional education or scheduling) and may include subsequent follow up on the specialist's recommendations; 30 minutes,09/11/2025
G9038,"Co-management services with the following elements: new diagnosis or acute exacerbation and stabilization of existing condition; condition which may benefit from joint care planning; condition for which specialist is taking a co-management role; condition expected to last at least 3 months; comprehensive care plan established, implemented, revised or monitored in partnership with co-managing clinicians; ongoing communication and care coordination between co-managing clinicians furnishing care",09/11/2025
G9050,"Oncology; primary focus of visit; work-up, evaluation, or staging at the time of cancer diagnosis or recurrence (for use in a medicare-approved demonstration project)",09/11/2025
G9051,"Oncology; primary focus of visit; treatment decision-making after disease is staged or restaged, discussion of treatment options, supervising/coordinating active cancer directed therapy or managing consequences of cancer directed therapy (for use in a medicare-approved demonstration project)",09/11/2025
G9052,Oncology; primary focus of visit; surveillance for disease recurrence for patient who has completed definitive cancer-directed therapy and currently lacks evidence of recurrent disease; cancer directed therapy might be considered in the future (for use in a medicare-approved demonstration project),09/11/2025
G9053,Oncology; primary focus of visit; expectant management of patient with evidence of cancer for whom no cancer directed therapy is being administered or arranged at present; cancer directed therapy might be considered in the future (for use in a medicare-approved demonstration project),09/11/2025
G9054,"Oncology; primary focus of visit; supervising, coordinating or managing care of patient with terminal cancer or for whom other medical illness prevents further cancer treatment; includes symptom management, end-of-life care planning, management of palliative therapies (for use in a medicare-approved demonstration project)",09/11/2025
G9055,"Oncology; primary focus of visit; other, unspecified service not otherwise listed (for use in a medicare-approved demonstration project)",09/11/2025
G9056,Oncology; practice guidelines; management adheres to guidelines (for use in a medicare-approved demonstration project),09/11/2025
G9057,Oncology; practice guidelines; management differs from guidelines as a result of patient enrollment in an institutional review board approved clinical trial (for use in a medicare-approved demonstration project),09/11/2025
G9058,Oncology; practice guidelines; management differs from guidelines because the treating physician disagrees with guideline recommendations (for use in a medicare-approved demonstration project),09/11/2025
G9059,"Oncology; practice guidelines; management differs from guidelines because the patient, after being offered treatment consistent with guidelines, has opted for alternative treatment or management, including no treatment (for use in a medicare-approved demonstration project)",09/11/2025
G9060,Oncology; practice guidelines; management differs from guidelines for reason(s) associated with patient comorbid illness or performance status not factored into guidelines (for use in a medicare-approved demonstration project),09/11/2025
G9061,Oncology; practice guidelines; patient's condition not addressed by available guidelines (for use in a medicare-approved demonstration project),09/11/2025
G9062,Oncology; practice guidelines; management differs from guidelines for other reason(s) not listed (for use in a medicare-approved demonstration project),09/11/2025
G9063,"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage i (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9064,"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage ii (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9065,"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage iii a (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9066,"Oncology; disease status; limited to non-small cell lung cancer; stage iii b- iv at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)",09/11/2025
G9067,"Oncology; disease status; limited to non-small cell lung cancer; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9068,"Oncology; disease status; limited to small cell and combined small cell/non-small cell; extent of disease initially established as limited with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9069,"Oncology; disease status; small cell lung cancer, limited to small cell and combined small cell/non-small cell; extensive stage at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)",09/11/2025
G9070,"Oncology; disease status; small cell lung cancer, limited to small cell and combined small cell/non-small; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9071,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i or stage iia-iib; or t3, n1, m0; and er and/or pr positive; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9072,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i, or stage iia-iib; or t3, n1, m0; and er and pr negative; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9073,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage iiia-iiib; and not t3, n1, m0; and er and/or pr positive; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9074,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage iiia-iiib; and not t3, n1, m0; and er and pr negative; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9075,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)",09/11/2025
G9077,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t1-t2c and gleason 2-7 and psa < or equal to 20 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9078,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t2 or t3a gleason 8-10 or psa > 20 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9079,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t3b-t4, any n; any t, n1 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9080,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; after initial treatment with rising psa or failure of psa decline (for use in a medicare-approved demonstration project)",09/11/2025
G9083,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9084,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-3, n0, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9085,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t4, n0, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9086,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-4, n1-2, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9087,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive with current clinical, radiologic, or biochemical evidence of disease (for use in a medicare-approved demonstration project)",09/11/2025
G9088,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive without current clinical, radiologic, or biochemical evidence of disease (for use in a medicare-approved demonstration project)",09/11/2025
G9089,"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9090,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-2, n0, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9091,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t3, n0, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9092,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-3, n1-2, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9093,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t4, any n, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9094,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)",09/11/2025
G9095,"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9096,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease initially established as t1-t3, n0-n1 or nx (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9097,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease initially established as t4, any n, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
G9098,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)",09/11/2025
G9099,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",09/11/2025
G9100,"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; post r0 resection (with or without neoadjuvant therapy) with no evidence of disease recurrence, progression, or metastases (for use in a medicare-approved demonstration project)",09/11/2025
