code,description,detailed_description,last_updated
N979,"Female infertility, unspecified","Female infertility, unspecified",09/11/2025
N98,Complications associated with artificial fertilization,N/A,09/11/2025
N980,Infection associated with artificial insemination,Infection associated with artificial insemination,09/11/2025
N981,Hyperstimulation of ovaries,Hyperstimulation of ovaries,09/11/2025
N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization,Complications of attempted introduction of fertilized ovum following in vitro fertilization,09/11/2025
N983,Complications of attempted introduction of embryo in embryo transfer,Complications of attempted introduction of embryo in embryo transfer,09/11/2025
N988,Other complications associated with artificial fertilization,Other complications associated with artificial fertilization,09/11/2025
N989,"Complication associated with artificial fertilization, unspecified","Complication associated with artificial fertilization, unspecified",09/11/2025
N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",N/A,09/11/2025
N990,Postprocedural renal failure,Postprocedural renal failure,09/11/2025
N991,Postprocedural urethral stricture,Postprocedural urethral stricture,09/11/2025
N992,Postoperative adhesions of vagina,Postoperative adhesions of vagina,09/11/2025
N993,Prolapse of vaginal vault after hysterectomy,Prolapse of vaginal vault after hysterectomy,09/11/2025
N994,Postprocedural pelvic peritoneal adhesions,Postprocedural pelvic peritoneal adhesions,09/11/2025
N995,Malfunction of external stoma of urinary tract,Malfunction of external stoma of urinary tract,09/11/2025
N998,Other postprocedural disorders of genitourinary system,Other postprocedural disorders of genitourinary system,09/11/2025
N999,"Postprocedural disorder of genitourinary system, unspecified","Postprocedural disorder of genitourinary system, unspecified",09/11/2025
O00,Ectopic pregnancy,N/A,09/11/2025
O000,Abdominal pregnancy,Abdominal pregnancy,09/11/2025
O001,Tubal pregnancy,Tubal pregnancy,09/11/2025
O002,Ovarian pregnancy,Ovarian pregnancy,09/11/2025
O008,Other ectopic pregnancy,Other ectopic pregnancy,09/11/2025
O009,"Ectopic pregnancy, unspecified","Ectopic pregnancy, unspecified",09/11/2025
O01,Hydatidiform mole,N/A,09/11/2025
O010,Classical hydatidiform mole,Classical hydatidiform mole,09/11/2025
O011,Incomplete and partial hydatidiform mole,Incomplete and partial hydatidiform mole,09/11/2025
O019,"Hydatidiform mole, unspecified","Hydatidiform mole, unspecified",09/11/2025
O02,Other abnormal products of conception,N/A,09/11/2025
O020,Blighted ovum and nonhydatidiform mole,Blighted ovum and nonhydatidiform mole,09/11/2025
O021,Missed abortion,Missed abortion,09/11/2025
O028,Other specified abnormal products of conception,Other specified abnormal products of conception,09/11/2025
O029,"Abnormal product of conception, unspecified","Abnormal product of conception, unspecified",09/11/2025
O03,Spontaneous abortion,N/A,09/11/2025
O030,"Spontaneous abortion: Incomplete, complicated by genital tract and pelvic infection","Incomplete, complicated by genital tract and pelvic infection",09/11/2025
O031,"Spontaneous abortion: Incomplete, complicated by delayed or excessive haemorrhage","Incomplete, complicated by delayed or excessive haemorrhage",09/11/2025
O032,"Spontaneous abortion: Incomplete, complicated by embolism","Incomplete, complicated by embolism",09/11/2025
O033,"Spontaneous abortion: Incomplete, with other and unspecified complications","Incomplete, with other and unspecified complications",09/11/2025
O034,"Spontaneous abortion: Incomplete, without complication","Incomplete, without complication",09/11/2025
O035,"Spontaneous abortion: Complete or unspecified, complicated by genital tract and pelvic infection","Complete or unspecified, complicated by genital tract and pelvic infection",09/11/2025
O036,"Spontaneous abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage","Complete or unspecified, complicated by delayed or excessive haemorrhage",09/11/2025
O037,"Spontaneous abortion: Complete or unspecified, complicated by embolism","Complete or unspecified, complicated by embolism",09/11/2025
O038,"Spontaneous abortion: Complete or unspecified, with other and unspecified complications","Complete or unspecified, with other and unspecified complications",09/11/2025
O039,"Spontaneous abortion: Complete or unspecified, without complication","Complete or unspecified, without complication",09/11/2025
O04,Medical abortion,N/A,09/11/2025
O040,"Medical abortion: Incomplete, complicated by genital tract and pelvic infection","Incomplete, complicated by genital tract and pelvic infection",09/11/2025
O041,"Medical abortion: Incomplete, complicated by delayed or excessive haemorrhage","Incomplete, complicated by delayed or excessive haemorrhage",09/11/2025
O042,"Medical abortion: Incomplete, complicated by embolism","Incomplete, complicated by embolism",09/11/2025
O043,"Medical abortion: Incomplete, with other and unspecified complications","Incomplete, with other and unspecified complications",09/11/2025
O044,"Medical abortion: Incomplete, without complication","Incomplete, without complication",09/11/2025
O045,"Medical abortion: Complete or unspecified, complicated by genital tract and pelvic infection","Complete or unspecified, complicated by genital tract and pelvic infection",09/11/2025
O046,"Medical abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage","Complete or unspecified, complicated by delayed or excessive haemorrhage",09/11/2025
O047,"Medical abortion: Complete or unspecified, complicated by embolism","Complete or unspecified, complicated by embolism",09/11/2025
O048,"Medical abortion: Complete or unspecified, with other and unspecified complications","Complete or unspecified, with other and unspecified complications",09/11/2025
O049,"Medical abortion: Complete or unspecified, without complication","Complete or unspecified, without complication",09/11/2025
O05,Other abortion,N/A,09/11/2025
O050,"Other abortion: Incomplete, complicated by genital tract and pelvic infection","Incomplete, complicated by genital tract and pelvic infection",09/11/2025
O051,"Other abortion: Incomplete, complicated by delayed or excessive haemorrhage","Incomplete, complicated by delayed or excessive haemorrhage",09/11/2025
O052,"Other abortion: Incomplete, complicated by embolism","Incomplete, complicated by embolism",09/11/2025
O053,"Other abortion: Incomplete, with other and unspecified complications","Incomplete, with other and unspecified complications",09/11/2025
O054,"Other abortion: Incomplete, without complication","Incomplete, without complication",09/11/2025
O055,"Other abortion: Complete or unspecified, complicated by genital tract and pelvic infection","Complete or unspecified, complicated by genital tract and pelvic infection",09/11/2025
O056,"Other abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage","Complete or unspecified, complicated by delayed or excessive haemorrhage",09/11/2025
O057,"Other abortion: Complete or unspecified, complicated by embolism","Complete or unspecified, complicated by embolism",09/11/2025
O058,"Other abortion: Complete or unspecified, with other and unspecified complications","Complete or unspecified, with other and unspecified complications",09/11/2025
O059,"Other abortion: Complete or unspecified, without complication","Complete or unspecified, without complication",09/11/2025
O06,Unspecified abortion,N/A,09/11/2025
O060,"Unspecified abortion: Incomplete, complicated by genital tract and pelvic infection","Incomplete, complicated by genital tract and pelvic infection",09/11/2025
O061,"Unspecified abortion: Incomplete, complicated by delayed or excessive haemorrhage","Incomplete, complicated by delayed or excessive haemorrhage",09/11/2025
O062,"Unspecified abortion: Incomplete, complicated by embolism","Incomplete, complicated by embolism",09/11/2025
O063,"Unspecified abortion: Incomplete, with other and unspecified complications","Incomplete, with other and unspecified complications",09/11/2025
O064,"Unspecified abortion: Incomplete, without complication","Incomplete, without complication",09/11/2025
O065,"Unspecified abortion: Complete or unspecified, complicated by genital tract and pelvic infection","Complete or unspecified, complicated by genital tract and pelvic infection",09/11/2025
O066,"Unspecified abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage","Complete or unspecified, complicated by delayed or excessive haemorrhage",09/11/2025
O067,"Unspecified abortion: Complete or unspecified, complicated by embolism","Complete or unspecified, complicated by embolism",09/11/2025
O068,"Unspecified abortion: Complete or unspecified, with other and unspecified complications","Complete or unspecified, with other and unspecified complications",09/11/2025
O069,"Unspecified abortion: Complete or unspecified, without complication","Complete or unspecified, without complication",09/11/2025
O07,Failed attempted abortion,N/A,09/11/2025
O070,"Failed medical abortion, complicated by genital tract and pelvic infection","Failed medical abortion, complicated by genital tract and pelvic infection",09/11/2025
O071,"Failed medical abortion, complicated by delayed or excessive haemorrhage","Failed medical abortion, complicated by delayed or excessive haemorrhage",09/11/2025
O072,"Failed medical abortion, complicated by embolism","Failed medical abortion, complicated by embolism",09/11/2025
O073,"Failed medical abortion, with other and unspecified complications","Failed medical abortion, with other and unspecified complications",09/11/2025
O074,"Failed medical abortion, without complication","Failed medical abortion, without complication",09/11/2025
O075,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection","Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection",09/11/2025
O076,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage","Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",09/11/2025
O077,"Other and unspecified failed attempted abortion, complicated by embolism","Other and unspecified failed attempted abortion, complicated by embolism",09/11/2025
O078,"Other and unspecified failed attempted abortion, with other and unspecified complications","Other and unspecified failed attempted abortion, with other and unspecified complications",09/11/2025
O079,"Other and unspecified failed attempted abortion, without complication","Other and unspecified failed attempted abortion, without complication",09/11/2025
O08,Complications following abortion and ectopic and molar pregnancy,N/A,09/11/2025
O080,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,09/11/2025
O081,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,09/11/2025
O082,Embolism following abortion and ectopic and molar pregnancy,Embolism following abortion and ectopic and molar pregnancy,09/11/2025
O083,Shock following abortion and ectopic and molar pregnancy,Shock following abortion and ectopic and molar pregnancy,09/11/2025
O084,Renal failure following abortion and ectopic and molar pregnancy,Renal failure following abortion and ectopic and molar pregnancy,09/11/2025
O085,Metabolic disorders following abortion and ectopic and molar pregnancy,Metabolic disorders following abortion and ectopic and molar pregnancy,09/11/2025
O086,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,09/11/2025
O087,Other venous complications following abortion and ectopic and molar pregnancy,Other venous complications following abortion and ectopic and molar pregnancy,09/11/2025
O088,Other complications following abortion and ectopic and molar pregnancy,Other complications following abortion and ectopic and molar pregnancy,09/11/2025
O089,"Complication following abortion and ectopic and molar pregnancy, unspecified","Complication following abortion and ectopic and molar pregnancy, unspecified",09/11/2025
O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",N/A,09/11/2025
O100,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium","Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",09/11/2025
O101,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium","Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",09/11/2025
O102,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium","Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium",09/11/2025
O103,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium","Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",09/11/2025
O104,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium","Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",09/11/2025
O109,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",09/11/2025
O11,Pre-eclampsia superimposed on chronic hypertension,N/A,09/11/2025
O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,N/A,09/11/2025
O120,Gestational oedema,Gestational oedema,09/11/2025
O121,Gestational proteinuria,Gestational proteinuria,09/11/2025
O122,Gestational oedema with proteinuria,Gestational oedema with proteinuria,09/11/2025
O13,Gestational [pregnancy-induced] hypertension,N/A,09/11/2025
O14,Pre-eclampsia,N/A,09/11/2025
O140,Mild to moderate pre-eclampsia,Mild to moderate pre-eclampsia,09/11/2025
O141,Severe pre-eclampsia,Severe pre-eclampsia,09/11/2025
O142,HELLP syndrome,HELLP syndrome,09/11/2025
O149,"Pre-eclampsia, unspecified","Pre-eclampsia, unspecified",09/11/2025
O15,Eclampsia,N/A,09/11/2025
O150,Eclampsia in pregnancy,Eclampsia in pregnancy,09/11/2025
O151,Eclampsia in labour,Eclampsia in labour,09/11/2025
O152,Eclampsia in the puerperium,Eclampsia in the puerperium,09/11/2025
O159,"Eclampsia, unspecified as to time period","Eclampsia, unspecified as to time period",09/11/2025
O16,Unspecified maternal hypertension,N/A,09/11/2025
O20,Haemorrhage in early pregnancy,N/A,09/11/2025
O200,Threatened abortion,Threatened abortion,09/11/2025
O208,Other haemorrhage in early pregnancy,Other haemorrhage in early pregnancy,09/11/2025
O209,"Haemorrhage in early pregnancy, unspecified","Haemorrhage in early pregnancy, unspecified",09/11/2025
O21,Excessive vomiting in pregnancy,N/A,09/11/2025
O210,Mild hyperemesis gravidarum,Mild hyperemesis gravidarum,09/11/2025
O211,Hyperemesis gravidarum with metabolic disturbance,Hyperemesis gravidarum with metabolic disturbance,09/11/2025
O212,Late vomiting of pregnancy,Late vomiting of pregnancy,09/11/2025
O218,Other vomiting complicating pregnancy,Other vomiting complicating pregnancy,09/11/2025
O219,"Vomiting of pregnancy, unspecified","Vomiting of pregnancy, unspecified",09/11/2025
O22,Venous complications and haemorrhoids in pregnancy,N/A,09/11/2025
O220,Varicose veins of lower extremity in pregnancy,Varicose veins of lower extremity in pregnancy,09/11/2025
O221,Genital varices in pregnancy,Genital varices in pregnancy,09/11/2025
O222,Superficial thrombophlebitis in pregnancy,Superficial thrombophlebitis in pregnancy,09/11/2025
O223,Deep phlebothrombosis in pregnancy,Deep phlebothrombosis in pregnancy,09/11/2025
O224,Haemorrhoids in pregnancy,Haemorrhoids in pregnancy,09/11/2025
O225,Cerebral venous thrombosis in pregnancy,Cerebral venous thrombosis in pregnancy,09/11/2025
O228,Other venous complications in pregnancy,Other venous complications in pregnancy,09/11/2025
O229,"Venous complication in pregnancy, unspecified","Venous complication in pregnancy, unspecified",09/11/2025
O23,Infections of genitourinary tract in pregnancy,N/A,09/11/2025
O230,Infections of kidney in pregnancy,Infections of kidney in pregnancy,09/11/2025
O231,Infections of bladder in pregnancy,Infections of bladder in pregnancy,09/11/2025
O232,Infections of urethra in pregnancy,Infections of urethra in pregnancy,09/11/2025
O233,Infections of other parts of urinary tract in pregnancy,Infections of other parts of urinary tract in pregnancy,09/11/2025
O234,Unspecified infection of urinary tract in pregnancy,Unspecified infection of urinary tract in pregnancy,09/11/2025
O235,Infections of the genital tract in pregnancy,Infections of the genital tract in pregnancy,09/11/2025
O239,Other and unspecified genitourinary tract infection in pregnancy,Other and unspecified genitourinary tract infection in pregnancy,09/11/2025
O24,Diabetes mellitus in pregnancy,N/A,09/11/2025
O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",Pre-existing type 1 diabetes mellitus,09/11/2025
O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",Pre-existing type 2 diabetes mellitus,09/11/2025
O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,Pre-existing malnutrition-related diabetes mellitus,09/11/2025
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified","Pre-existing diabetes mellitus, unspecified",09/11/2025
O244,Diabetes mellitus arising in pregnancy,Diabetes mellitus arising in pregnancy,09/11/2025
O249,"Diabetes mellitus in pregnancy, unspecified","Diabetes mellitus in pregnancy, unspecified",09/11/2025
O25,Malnutrition in pregnancy,N/A,09/11/2025
O26,Maternal care for other conditions predominantly related to pregnancy,N/A,09/11/2025
O260,Excessive weight gain in pregnancy,Excessive weight gain in pregnancy,09/11/2025
O261,Low weight gain in pregnancy,Low weight gain in pregnancy,09/11/2025
O262,Pregnancy care of habitual aborter,Pregnancy care of habitual aborter,09/11/2025
O263,Retained intrauterine contraceptive device in pregnancy,Retained intrauterine contraceptive device in pregnancy,09/11/2025
O264,Herpes gestationis,Herpes gestationis,09/11/2025
O265,Maternal hypotension syndrome,Maternal hypotension syndrome,09/11/2025
O266,"Liver disorders in pregnancy, childbirth and the puerperium","Liver disorders in pregnancy, childbirth and the puerperium",09/11/2025
O267,"Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium","Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium",09/11/2025
O268,Other specified pregnancy-related conditions,Other specified pregnancy-related conditions,09/11/2025
O269,"Pregnancy-related condition, unspecified","Pregnancy-related condition, unspecified",09/11/2025
O28,Abnormal findings on antenatal screening of mother,N/A,09/11/2025
O280,Abnormal haematological finding on antenatal screening of mother,Abnormal haematological finding on antenatal screening of mother,09/11/2025
O281,Abnormal biochemical finding on antenatal screening of mother,Abnormal biochemical finding on antenatal screening of mother,09/11/2025
O282,Abnormal cytological finding on antenatal screening of mother,Abnormal cytological finding on antenatal screening of mother,09/11/2025
O283,Abnormal ultrasonic finding on antenatal screening of mother,Abnormal ultrasonic finding on antenatal screening of mother,09/11/2025
O284,Abnormal radiological finding on antenatal screening of mother,Abnormal radiological finding on antenatal screening of mother,09/11/2025
O285,Abnormal chromosomal and genetic finding on antenatal screening of mother,Abnormal chromosomal and genetic finding on antenatal screening of mother,09/11/2025
O288,Other abnormal findings on antenatal screening of mother,Other abnormal findings on antenatal screening of mother,09/11/2025
O289,"Abnormal finding on antenatal screening of mother, unspecified","Abnormal finding on antenatal screening of mother, unspecified",09/11/2025
O29,Complications of anaesthesia during pregnancy,N/A,09/11/2025
O290,Pulmonary complications of anaesthesia during pregnancy,Pulmonary complications of anaesthesia during pregnancy,09/11/2025
O291,Cardiac complications of anaesthesia during pregnancy,Cardiac complications of anaesthesia during pregnancy,09/11/2025
O292,Central nervous system complications of anaesthesia during pregnancy,Central nervous system complications of anaesthesia during pregnancy,09/11/2025
O293,Toxic reaction to local anaesthesia during pregnancy,Toxic reaction to local anaesthesia during pregnancy,09/11/2025
O294,Spinal and epidural anaesthesia-induced headache during pregnancy,Spinal and epidural anaesthesia-induced headache during pregnancy,09/11/2025
O295,Other complications of spinal and epidural anaesthesia during pregnancy,Other complications of spinal and epidural anaesthesia during pregnancy,09/11/2025
O296,Failed or difficult intubation during pregnancy,Failed or difficult intubation during pregnancy,09/11/2025
O298,Other complications of anaesthesia during pregnancy,Other complications of anaesthesia during pregnancy,09/11/2025
O299,"Complication of anaesthesia during pregnancy, unspecified","Complication of anaesthesia during pregnancy, unspecified",09/11/2025
O30,Multiple gestation,N/A,09/11/2025
O300,Twin pregnancy,Twin pregnancy,09/11/2025
O301,Triplet pregnancy,Triplet pregnancy,09/11/2025
O302,Quadruplet pregnancy,Quadruplet pregnancy,09/11/2025
O308,Other multiple gestation,Other multiple gestation,09/11/2025
O309,"Multiple gestation, unspecified","Multiple gestation, unspecified",09/11/2025
O31,Complications specific to multiple gestation,N/A,09/11/2025
O310,Papyraceous fetus,Papyraceous fetus,09/11/2025
O311,Continuing pregnancy after abortion of one fetus or more,Continuing pregnancy after abortion of one fetus or more,09/11/2025
O312,Continuing pregnancy after intrauterine death of one fetus or more,Continuing pregnancy after intrauterine death of one fetus or more,09/11/2025
O318,Other complications specific to multiple gestation,Other complications specific to multiple gestation,09/11/2025
O32,Maternal care for known or suspected malpresentation of fetus,N/A,09/11/2025
O320,Maternal care for unstable lie,Maternal care for unstable lie,09/11/2025
O321,Maternal care for breech presentation,Maternal care for breech presentation,09/11/2025
O322,Maternal care for transverse and oblique lie,Maternal care for transverse and oblique lie,09/11/2025
O323,"Maternal care for face, brow and chin presentation","Maternal care for face, brow and chin presentation",09/11/2025
O324,Maternal care for high head at term,Maternal care for high head at term,09/11/2025
O325,Maternal care for multiple gestation with malpresentation of one fetus or more,Maternal care for multiple gestation with malpresentation of one fetus or more,09/11/2025
O326,Maternal care for compound presentation,Maternal care for compound presentation,09/11/2025
O328,Maternal care for other malpresentation of fetus,Maternal care for other malpresentation of fetus,09/11/2025
O329,"Maternal care for malpresentation of fetus, unspecified","Maternal care for malpresentation of fetus, unspecified",09/11/2025
O33,Maternal care for known or suspected disproportion,N/A,09/11/2025
O330,Maternal care for disproportion due to deformity of maternal pelvic bones,Maternal care for disproportion due to deformity of maternal pelvic bones,09/11/2025
O331,Maternal care for disproportion due to generally contracted pelvis,Maternal care for disproportion due to generally contracted pelvis,09/11/2025
O332,Maternal care for disproportion due to inlet contraction of pelvis,Maternal care for disproportion due to inlet contraction of pelvis,09/11/2025
O333,Maternal care for disproportion due to outlet contraction of pelvis,Maternal care for disproportion due to outlet contraction of pelvis,09/11/2025
O334,Maternal care for disproportion of mixed maternal and fetal origin,Maternal care for disproportion of mixed maternal and fetal origin,09/11/2025
O335,Maternal care for disproportion due to unusually large fetus,Maternal care for disproportion due to unusually large fetus,09/11/2025
O336,Maternal care for disproportion due to hydrocephalic fetus,Maternal care for disproportion due to hydrocephalic fetus,09/11/2025
O337,Maternal care for disproportion due to other fetal deformities,Maternal care for disproportion due to other fetal deformities,09/11/2025
O338,Maternal care for disproportion of other origin,Maternal care for disproportion of other origin,09/11/2025
O339,"Maternal care for disproportion, unspecified","Maternal care for disproportion, unspecified",09/11/2025
O34,Maternal care for known or suspected abnormality of pelvic organs,N/A,09/11/2025
O340,Maternal care for congenital malformation of uterus,Maternal care for congenital malformation of uterus,09/11/2025
O341,Maternal care for tumour of corpus uteri,Maternal care for tumour of corpus uteri,09/11/2025
O342,Maternal care due to uterine scar from previous surgery,Maternal care due to uterine scar from previous surgery,09/11/2025
O343,Maternal care for cervical incompetence,Maternal care for cervical incompetence,09/11/2025
O344,Maternal care for other abnormalities of cervix,Maternal care for other abnormalities of cervix,09/11/2025
O345,Maternal care for other abnormalities of gravid uterus,Maternal care for other abnormalities of gravid uterus,09/11/2025
O346,Maternal care for abnormality of vagina,Maternal care for abnormality of vagina,09/11/2025
O347,Maternal care for abnormality of vulva and perineum,Maternal care for abnormality of vulva and perineum,09/11/2025
O348,Maternal care for other abnormalities of pelvic organs,Maternal care for other abnormalities of pelvic organs,09/11/2025
O349,"Maternal care for abnormality of pelvic organ, unspecified","Maternal care for abnormality of pelvic organ, unspecified",09/11/2025
O35,Maternal care for known or suspected fetal abnormality and damage,N/A,09/11/2025
O350,Maternal care for (suspected) central nervous system malformation in fetus,Maternal care for (suspected) central nervous system malformation in fetus,09/11/2025
O351,Maternal care for (suspected) chromosomal abnormality in fetus,Maternal care for (suspected) chromosomal abnormality in fetus,09/11/2025
O352,Maternal care for (suspected) hereditary disease in fetus,Maternal care for (suspected) hereditary disease in fetus,09/11/2025
O353,Maternal care for (suspected) damage to fetus from viral disease in mother,Maternal care for (suspected) damage to fetus from viral disease in mother,09/11/2025
O354,Maternal care for (suspected) damage to fetus from alcohol,Maternal care for (suspected) damage to fetus from alcohol,09/11/2025
O355,Maternal care for (suspected) damage to fetus by drugs,Maternal care for (suspected) damage to fetus by drugs,09/11/2025
O356,Maternal care for (suspected) damage to fetus by radiation,Maternal care for (suspected) damage to fetus by radiation,09/11/2025
O357,Maternal care for (suspected) damage to fetus by other medical procedures,Maternal care for (suspected) damage to fetus by other medical procedures,09/11/2025
O358,Maternal care for other (suspected) fetal abnormality and damage,Maternal care for other (suspected) fetal abnormality and damage,09/11/2025
O359,"Maternal care for (suspected) fetal abnormality and damage, unspecified","Maternal care for (suspected) fetal abnormality and damage, unspecified",09/11/2025
O36,Maternal care for other known or suspected fetal problems,N/A,09/11/2025
O360,Maternal care for rhesus isoimmunization,Maternal care for rhesus isoimmunization,09/11/2025
O361,Maternal care for other isoimmunization,Maternal care for other isoimmunization,09/11/2025
O362,Maternal care for hydrops fetalis,Maternal care for hydrops fetalis,09/11/2025
O363,Maternal care for signs of fetal hypoxia,Maternal care for signs of fetal hypoxia,09/11/2025
O364,Maternal care for intrauterine death,Maternal care for intrauterine death,09/11/2025
O365,Maternal care for poor fetal growth,Maternal care for poor fetal growth,09/11/2025
O366,Maternal care for excessive fetal growth,Maternal care for excessive fetal growth,09/11/2025
O367,Maternal care for viable fetus in abdominal pregnancy,Maternal care for viable fetus in abdominal pregnancy,09/11/2025
O368,Maternal care for other specified fetal problems,Maternal care for other specified fetal problems,09/11/2025
O369,"Maternal care for fetal problem, unspecified","Maternal care for fetal problem, unspecified",09/11/2025
O40,Polyhydramnios,N/A,09/11/2025
O41,Other disorders of amniotic fluid and membranes,N/A,09/11/2025
O410,Oligohydramnios,Oligohydramnios,09/11/2025
O411,Infection of amniotic sac and membranes,Infection of amniotic sac and membranes,09/11/2025
O418,Other specified disorders of amniotic fluid and membranes,Other specified disorders of amniotic fluid and membranes,09/11/2025
O419,"Disorder of amniotic fluid and membranes, unspecified","Disorder of amniotic fluid and membranes, unspecified",09/11/2025
O42,Premature rupture of membranes,N/A,09/11/2025
O420,"Premature rupture of membranes, onset of labour within 24 hours","Premature rupture of membranes, onset of labour within 24 hours",09/11/2025
O421,"Premature rupture of membranes, onset of labour after 24 hours","Premature rupture of membranes, onset of labour after 24 hours",09/11/2025
O422,"Premature rupture of membranes, labour delayed by therapy","Premature rupture of membranes, labour delayed by therapy",09/11/2025
O429,"Premature rupture of membranes, unspecified","Premature rupture of membranes, unspecified",09/11/2025
O43,Placental disorders,N/A,09/11/2025
O430,Placental transfusion syndromes,Placental transfusion syndromes,09/11/2025
O431,Malformation of placenta,Malformation of placenta,09/11/2025
O432,Morbidly adherent placenta,Morbidly adherent placenta,09/11/2025
O438,Other placental disorders,Other placental disorders,09/11/2025
O439,"Placental disorder, unspecified","Placental disorder, unspecified",09/11/2025
O44,Placenta praevia,N/A,09/11/2025
O440,Placenta praevia specified as without haemorrhage,Placenta praevia specified as without haemorrhage,09/11/2025
O441,Placenta praevia with haemorrhage,Placenta praevia with haemorrhage,09/11/2025
O45,Premature separation of placenta [abruptio placentae],N/A,09/11/2025
O450,Premature separation of placenta with coagulation defect,Premature separation of placenta with coagulation defect,09/11/2025
O458,Other premature separation of placenta,Other premature separation of placenta,09/11/2025
O459,"Premature separation of placenta, unspecified","Premature separation of placenta, unspecified",09/11/2025
O46,"Antepartum haemorrhage, not elsewhere classified",N/A,09/11/2025
O460,Antepartum haemorrhage with coagulation defect,Antepartum haemorrhage with coagulation defect,09/11/2025
O468,Other antepartum haemorrhage,Other antepartum haemorrhage,09/11/2025
O469,"Antepartum haemorrhage, unspecified","Antepartum haemorrhage, unspecified",09/11/2025
O47,False labour,N/A,09/11/2025
O470,False labour before 37 completed weeks of gestation,False labour before 37 completed weeks of gestation,09/11/2025
O471,False labour at or after 37 completed weeks of gestation,False labour at or after 37 completed weeks of gestation,09/11/2025
O479,"False labour, unspecified","False labour, unspecified",09/11/2025
O48,Prolonged pregnancy,N/A,09/11/2025
O60,Preterm labour and delivery,N/A,09/11/2025
O600,Preterm labour without delivery,Preterm labour without delivery,09/11/2025
O601,Preterm spontaneous labour with preterm delivery,Preterm spontaneous labour with preterm delivery,09/11/2025
O602,Preterm spontaneous labour with term delivery,Preterm spontaneous labour with term delivery,09/11/2025
O603,Preterm delivery without spontaneous labour,Preterm delivery without spontaneous labour,09/11/2025
O61,Failed induction of labour,N/A,09/11/2025
O610,Failed medical induction of labour,Failed medical induction of labour,09/11/2025
O611,Failed instrumental induction of labour,Failed instrumental induction of labour,09/11/2025
O618,Other failed induction of labour,Other failed induction of labour,09/11/2025
O619,"Failed induction of labour, unspecified","Failed induction of labour, unspecified",09/11/2025
O62,Abnormalities of forces of labour,N/A,09/11/2025
O620,Primary inadequate contractions,Primary inadequate contractions,09/11/2025
O621,Secondary uterine inertia,Secondary uterine inertia,09/11/2025
O622,Other uterine inertia,Other uterine inertia,09/11/2025
O623,Precipitate labour,Precipitate labour,09/11/2025
O624,"Hypertonic, incoordinate, and prolonged uterine contractions","Hypertonic, incoordinate, and prolonged uterine contractions",09/11/2025
O628,Other abnormalities of forces of labour,Other abnormalities of forces of labour,09/11/2025
O629,"Abnormality of forces of labour, unspecified","Abnormality of forces of labour, unspecified",09/11/2025
O63,Long labour,N/A,09/11/2025
O630,Prolonged first stage (of labour),Prolonged first stage (of labour),09/11/2025
O631,Prolonged second stage (of labour),Prolonged second stage (of labour),09/11/2025
O632,"Delayed delivery of second twin, triplet, etc.","Delayed delivery of second twin, triplet, etc.",09/11/2025
O639,"Long labour, unspecified","Long labour, unspecified",09/11/2025
O64,Obstructed labour due to malposition and malpresentation of fetus,N/A,09/11/2025
